model,h1n1_vaccine,seasonal_vaccine,macro_auc
LightGBM,0.8653496041427949,0.8602029783338155,0.8627762912383052
Random Forest,0.8600171394797769,0.8540878701890657,0.8570525048344213
Logistic Regression,0.8607725303892888,0.8527945384826368,0.8567835344359628
