feature,mean_abs_shap
doctor_recc_h1n1,0.6471930066814817
health_insurance_1_0,0.37384080108473283
opinion_h1n1_risk,0.35322413022124766
opinion_h1n1_vacc_effective,0.3466212202526242
health_insurance_Missing,0.31619633282727666
age_group,0.12285032095612983
opinion_h1n1_sick_from_vacc,0.11658015187441007
PVAS_seas,0.10454164220434366
opinion_seas_risk,0.10108310312866677
sex_Male,0.10006949868930345
health_worker,0.09841374500930598
PVAS_h1n1,0.09435606099503616
employment_industry_te_h1n1_vaccine,0.09212439354914402
education,0.07263822084324376
HRI,0.07026098211863757
PVASxPBI_h1n1,0.06516047411185122
income_poverty,0.0649424522541249
h1n1_knowledge,0.0645979340403955
doctor_recc_seasonal,0.05800117180083224
employment_occupation_te_seasonal_vaccine,0.05687547114971219
PVASxDoctor_seas,0.052494821950228976
employment_industry_te_seasonal_vaccine,0.049473155457685665
HKI,0.04828137118940438
employment_occupation_te_h1n1_vaccine,0.04693131655479291
opinion_seas_sick_from_vacc,0.04332641113070277
behavioral_large_gatherings,0.037252027339913535
marital_status_Not_Married,0.036860984486470086
opinion_seas_vacc_effective,0.03472346477916868
industry_occ_te_mean,0.03433967958814833
race_White,0.03332859967787742
h1n1_concern,0.032445002086093834
race_Hispanic,0.030069996884371685
hhs_geo_region_lzgpxyit,0.0295317705476465
household_adults,0.027707958020833437
census_msa_Non_MSA,0.027440863665888066
household_children,0.027395670869225893
rent_or_own_Rent,0.022206236774058523
behavioral_avoidance,0.020318784294594747
census_msa_MSA_Principle_City,0.019598557177116623
race_Other_or_Multiple,0.019455289156695945
PBI,0.019372511116337292
behavioral_face_mask,0.019245592290405143
behavioral_antiviral_meds,0.018413988322209383
hhs_geo_region_fpwskwrf,0.017734115974589355
child_under_6_months,0.017217673604487987
hhs_geo_region_oxchjgsf,0.016292136746103848
employment_status_Missing,0.014701025460968882
hhs_geo_region_mlyzmhmf,0.014131474429039987
hhs_geo_region_kbazzjca,0.014065606083826917
marital_status_Missing,0.012161558703026435
hhs_geo_region_dqpwygqj,0.01166289715248088
doctor_any,0.011156464034006854
hhs_geo_region_bhuqouqj,0.009348902464187157
rent_or_own_Own,0.009005233045394816
behavioral_wash_hands,0.00858215977326589
employment_status_Unemployed,0.0060375373047280995
hhs_geo_region_lrircsnp,0.005958632196792157
hhs_geo_region_qufhixun,0.005479238013175959
behavioral_outside_home,0.005075442076752935
behavioral_touch_face,0.004900002229226876
chronic_med_condition,0.003906807582312276
employment_status_Not_in_Labor_Force,0.0029571258661352773
below_poverty,0.0
low_edu,0.0
is_married,0.0
no_insurance,0.0
no_job,0.0
housing_insecure,0.0
is_senior,0.0
PBIxNoInsur,0.0
SeniorxChronic,0.0
PovertyxRent,0.0
